,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,ECIS3,21165,000,000,0000,"0,00%",0,000,000,000,000,"34,90%","14,18%",138,"12,48%","7,33%",000,"129.346.000,00",38,"4,66%"
1,NAFG3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,000,0,"7,60%"
2,SALM3,570,000,000,0000,"0,00%",0,000,000,000,000,"10,22%","4,13%",131,"25,78%","19,53%",000,"475.600.000,00",80,"24,53%"
3,CSPC3,124,000,000,0000,"0,00%",0,000,000,000,000,"38,62%","18,85%",143,"29,18%","45,33%",000,"2.126.670.000,00",148,"41,15%"
4,MSAN4,644,000,000,0000,"0,00%",0,000,000,000,000,"6,27%","2,42%",118,"11,78%","11,81%",000,"2.533.030.000,00",39,"101,35%"
5,TNEP3,301,000,000,0000,"0,00%",0,000,000,000,000,"20,92%","25,42%",239,"20,53%","22,80%",000,"955.105.000,00",6,"8,15%"
6,CMMA4,081,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-1,92%",000,"-79.623.000,00",0,"0,00%"
7,BERG3,3300,000,000,0000,"0,00%",0,000,000,000,000,"-8,60%","-32,60%",46,"-5,58%","-102,71%",000,"9.538.000,00",286,"-8,00%"
8,ARPS3,030,000,000,0000,"0,00%",0,000,000,000,000,"-4,92%","-11,59%",91,"-6,64%","20,34%",000,"-12.690.000,00",-124,"-17,53%"
9,POPR4,1017,000,000,0000,"0,00%",0,000,000,000,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",82,"30,93%"
10,LATS3,2200,000,000,0000,"0,00%",0,000,000,000,000,"11,74%","1,30%",167,"11,63%","1,84%",000,"680.646.000,00",39,"15,37%"
11,CSTB3,15000,000,000,0000,"0,00%",0,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",14,"31,91%"
12,CFLU4,"1.000,00",000,000,0000,"0,00%",0,000,000,000,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",6,"8,14%"
13,PTIP3,2200,000,000,0000,"0,00%",0,000,000,000,000,"13,73%","7,55%",70,"23,13%","-121,74%",000,"-155.957.000,00",-902,"62,11%"
14,ECIS4,14500,000,000,0000,"0,00%",0,000,000,000,000,"34,90%","14,18%",138,"12,48%","7,33%",000,"129.346.000,00",38,"4,66%"
15,MNSA3,042,000,000,0000,"0,00%",0,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
16,SALM4,590,000,000,0000,"0,00%",0,000,000,000,000,"10,22%","4,13%",131,"25,78%","19,53%",000,"475.600.000,00",80,"24,53%"
17,ALBA3,215,000,000,0000,"0,00%",0,000,000,000,000,"9,50%","9,62%",183,"20,40%","19,77%",000,"354.860.000,00",3,"14,69%"
18,CSPC4,120,000,000,0000,"0,00%",0,000,000,000,000,"38,62%","18,85%",143,"29,18%","45,33%",000,"2.126.670.000,00",148,"41,15%"
19,CREM3,1299,000,000,0000,"0,00%",0,000,000,000,000,"11,23%","2,57%",19,"15,20%","-50,95%","2.030.480,00","-7.698.000,00",-877,"10,38%"
