,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,CFLU4,"1.000,00",000,000,0000,"0,00%",0,000,000,000,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
1,CLAN3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-1,05%",000,"1.012.240.000,00",000,"-63,96%"
2,CLSC6,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","9,92%",000,"2.025.410.000,00",000,"3,63%"
3,CSTB3,15000,000,000,0000,"0,00%",0,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
4,CSTB4,14769,000,000,0000,"0,00%",0,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
5,IVTT3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-0,40%",000,"1.083.050.000,00",000,"20,67%"
6,MNSA3,042,000,000,0000,"0,00%",0,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
7,MNSA4,047,000,000,0000,"0,00%",0,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
8,PMET3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","4,10%",000,"-290.863.000,00",000,"37,74%"
9,POPR4,1017,000,000,0000,"0,00%",0,000,000,000,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
10,PORP4,240,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
11,VNET3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","22,18%",000,"9.297.950.000,00",000,"-7,59%"
12,EVEN3,1250,-73629,163,1508,"0,00%",570,101,2765,299,3120,"5,45%","1,05%",342,"2,54%","-0,22%","24.142.100,00","1.668.040.000,00",083,"-6,20%"
13,CASN3,1800,-67710,974,11701,"0,00%",3648,5064,21658,-783,9364,"5,40%","-1,73%",182,"1,83%","-1,44%",000,"1.321.250.000,00",098,"6,09%"
14,PLDN4,48600,-55307,108,0919,"0,00%",611,107,-7556,310,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
15,DTEX3,1438,-47037,209,2077,"5,51%",916,830,2912,-383,1249,"7,13%","-0,44%",152,"3,65%","-0,44%","24.587.300,00","4.765.100.000,00",067,"5,74%"
16,MAPT3,6500,-37103,-1076,0000,"0,00%",77277,000,-45599,000,-45599,"0,00%","0,00%",0,"0,00%","2,90%",000,"-5.552.000,00",000,"0,00%"
17,LCSA4,3509,-33752,-22800,79738,"0,00%",125308,-20227,-50580,-9661,-50656,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
18,SQIA3,1737,-33192,284,7349,"0,05%",1982,350,10574,583,3913,"6,95%","-2,21%",838,"4,72%","-0,86%","9.692.020,00","430.818.000,00",014,"24,08%"
19,BHGR3,1910,-27216,110,3613,"0,00%",855,-19445,2370,-856,1420,"15,24%","-1,31%",96,"3,93%","-0,40%",000,"1.077.600.000,00",020,"20,67%"
20,MAPT4,4700,-26828,-778,0000,"0,00%",55877,000,-32972,000,-32972,"0,00%","0,00%",0,"0,00%","2,90%",66277,"-5.552.000,00",000,"0,00%"
21,RJCP3,001,-22470,065,0000,"0,00%",619,000,-52294,000,-91732,"0,00%","0,00%",0,"0,00%","-0,29%",000,"17.287.200,00",000,"0,00%"
22,ABYA3,491,-21480,176,2055,"0,00%",527,198,1996,-275,3367,"10,29%","-0,96%",209,"2,78%","-0,82%",000,"292.060.000,00",131,"16,41%"
23,PITI4,128,-20474,000,0000,"0,00%",0,000,"-2.637,65",000,11107,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"-29,63%"
24,CCPR3,2240,-18819,344,7879,"0,00%",989,3025,1503,-251,1756,"52,42%","9,43%",140,"7,26%","-1,83%","6.203.400,00","1.040.750.000,00",164,"6,08%"
25,LCSA3,1250,-12023,-8122,28405,"0,00%",44638,-7205,-18018,-3441,-18095,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
26,MAGG3,5940,-11998,132,0684,"0,00%",440,932,407,-155,534,"16,82%","-0,57%",114,"14,05%","-1,10%",000,"2.246.130.000,00",103,"9,27%"
27,MILS3,701,-10427,159,6276,"0,00%",1279,1820,-2301,"-11.390,30",2383,"-27,27%","-6,02%",156,"-6,17%","-1,52%","6.208.760,00","1.111.300.000,00",014,"-18,38%"
28,PFRM3,415,-9952,052,0110,"0,00%",163,112,343,-356,426,"3,20%","-0,11%",129,"7,61%","-0,52%","999.357,00","984.289.000,00",072,"6,70%"
29,BNCA3,7030,-9030,245,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,72%",000,"3.068.150.000,00",000,"2,41%"
30,CESP6,3004,-8875,142,6361,"2,95%",845,2128,13991,-255,2681,"4,55%","-7,17%",218,"0,63%","-1,60%","27.749.900,00","6.940.700.000,00",027,"-15,23%"
31,CESP3,2899,-8565,137,6139,"3,06%",815,2054,13502,-246,2599,"4,55%","-7,17%",218,"0,63%","-1,60%","608.801,00","6.940.700.000,00",027,"-15,23%"
32,CESP5,2890,-8539,136,6120,"6,31%",812,2047,13460,-246,2592,"4,55%","-7,17%",218,"0,63%","-1,60%","1.700,47","6.940.700.000,00",027,"-15,23%"
