,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,VNET3,000,000,000,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","4,79%",000,"9.155.900.000,00",000,"-7,47%"
1,VSPT3,000,000,000,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-0,92%",000,"4.759.530.000,00",000,"47,46%"
2,VSPT4,000,000,000,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-0,92%",000,"4.759.530.000,00",000,"47,46%"
3,CFLU4,"1.000,00",000,000,0000,"0,00%",0,000,000,000,000,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
4,CLAN3,000,000,000,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-1,05%",000,"1.012.240.000,00",000,"-63,96%"
5,CLSC6,000,000,000,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","22,90%",000,"1.611.840.000,00",000,"7,54%"
6,CSTB3,15000,000,000,0000,"0,00%",0,000,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
7,CSTB4,14769,000,000,0000,"0,00%",0,000,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
8,IVTT3,000,000,000,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-0,40%",000,"1.083.050.000,00",000,"20,67%"
9,MNSA3,042,000,000,0000,"0,00%",0,000,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
10,MNSA4,047,000,000,0000,"0,00%",0,000,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
11,ODER3,000,000,000,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","17,07%",000,"220.989.000,00",000,"5,60%"
12,ODER4,000,000,000,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","17,07%",000,"220.989.000,00",000,"5,60%"
13,PMET3,000,000,000,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","4,10%",000,"-290.863.000,00",000,"37,74%"
14,POPR4,1017,000,000,0000,"0,00%",0,000,000,000,000,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
15,PORP4,240,000,000,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
16,LINX3,3615,"-1.437,87",407,7918,"0,31%",2539,997,4959,3120,4783,2274,"15,97%","-0,55%",226,"7,25%","-0,28%","71.092.200,00","1.684.040.000,00",031,"15,83%"
17,PLDN4,48600,-55307,108,0919,"0,00%",611,107,-7556,310,-3312,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
18,LCSA4,3509,-33752,-22800,79738,"0,00%",125308,-20227,-50580,-9661,-50656,-50656,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
19,GFSA3,413,-32708,102,3327,"0,00%",425,135,3092,291,3358,2686,"10,76%","-1,15%",176,"1,83%","-0,31%","22.611.700,00","1.175.850.000,00",057,"-24,38%"
20,BHGR3,1910,-27216,110,3613,"0,00%",855,-19445,2370,-856,2595,1420,"15,24%","-1,31%",96,"3,93%","-0,40%",000,"1.077.600.000,00",020,"20,67%"
21,MAPT3,5001,-26113,-806,0000,"0,00%",59456,"-9.191,84",-29844,-710,-29844,-29844,"0,00%","0,00%",0,"-20,05%","3,09%",000,"-5.702.000,00",000,"0,00%"
22,BTOW3,7473,-23859,439,4586,"0,00%",2192,565,13815,1477,12841,4390,"3,32%","-1,92%",249,"3,92%","-1,84%","337.822.000,00","9.535.270.000,00",053,"-0,80%"
23,MAPT4,4399,-22970,-709,0000,"0,00%",52299,"-8.085,36",-26251,-624,-26251,-26251,"0,00%","0,00%",0,"-20,05%","3,09%","8.512,15","-5.702.000,00",000,"0,00%"
24,RJCP3,001,-22470,065,0000,"0,00%",619,000,-52294,000,-52396,-91732,"0,00%","0,00%",0,"0,00%","-0,29%",000,"17.287.200,00",000,"0,00%"
25,ABYA3,491,-21480,176,2055,"0,00%",527,198,1996,-275,3367,3367,"10,29%","-0,96%",209,"2,78%","-0,82%",000,"292.060.000,00",131,"16,41%"
26,STBP3,437,-21310,181,4191,"0,31%",891,385,23167,-430,19141,1897,"1,81%","-1,97%",439,"0,53%","-0,85%","26.788.800,00","2.084.210.000,00",021,"3,09%"
27,PITI4,128,-20474,000,0000,"0,00%",0,000,"-2.637,65",000,"-2.637,65",11107,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"-29,63%"
28,OMGE3,3360,-17459,"1.767,06",9067,"0,00%",742779,"3.888,29",3546,"-2.201,27",3548,2712,"25,57%","-4,53%",514,"2.644,44%","-1.012,13%","36.774.000,00","3.722.190,00",124,"47,95%"
29,STBP11,1440,-14044,119,2762,"0,00%",587,253,15268,-284,11242,1114,"1,81%","-1,97%",439,"0,53%","-0,85%",000,"2.084.210.000,00",021,"3,09%"
30,DASA3,5500,-13340,683,5304,"0,67%",2141,1791,53288,-554,59683,4499,"1,00%","-3,91%",166,"0,49%","-5,12%","44.397,30","3.872.410.000,00",127,"14,33%"
31,LCSA3,1250,-12023,-8122,28405,"0,00%",44638,-7205,-18018,-3441,-18095,-18095,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
32,MAGG3,5940,-11998,132,0684,"0,00%",440,932,407,-155,641,534,"16,82%","-0,57%",114,"14,05%","-1,10%",000,"2.246.130.000,00",103,"9,27%"
33,IDVL11,14000,-11608,5728,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-49,34%",000,"251.321.000,00",000,"0,00%"
34,PTNT3,510,-11224,100,0517,"0,00%",349,389,-8280,-361,-12150,1357,"-0,62%","0,85%",124,"-0,55%","-0,89%","26.626,30","246.024.000,00",095,"-0,33%"
35,RDNI3,999,-10193,072,1272,"0,09%",280,159,2104,-133,3885,3162,"6,04%","-0,92%",179,"1,44%","-0,71%","356.993,00","603.221.000,00",076,"-9,11%"
36,PTNT4,452,-9947,088,0458,"0,00%",310,345,-7338,-320,-11208,1252,"-0,62%","0,85%",124,"-0,55%","-0,89%","85.823,20","246.024.000,00",095,"-0,33%"
37,ANIM3,3093,-9163,201,2437,"0,00%",899,384,1620,-456,1883,1108,"15,04%","-2,63%",296,"7,16%","-2,19%","19.590.700,00","1.656.830.000,00",080,"9,62%"
38,BNCA3,7030,-9030,245,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,72%",000,"3.068.150.000,00",000,"2,41%"
39,CEAB3,1370,-8019,164,0995,"0,01%",650,316,7898,-385,10987,1064,"1,26%","-1,24%",190,"1,11%","-2,04%","30.364.900,00","2.578.030.000,00",113,"0,00%"
40,TUPY4,4821,-7745,274,1685,"0,00%",1086,375,2534,-2048,2934,1291,"6,65%","-2,18%",211,"6,19%","-3,54%",000,"2.536.900.000,00",100,"8,56%"
41,AMIL3,3220,-7328,770,1129,"0,00%",2003,-1695,13658,-543,13861,5013,"0,83%","-1,53%",75,"2,22%","-10,51%",000,"1.532.980.000,00",124,"28,47%"
42,BRTP3,3571,-6726,245,1168,"0,00%",684,898,603,-240,755,755,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",091,"3,66%"
43,BBTG12,315,-5833,000,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"0,00%"
