"Ticker","Nome","Negócios","Última (R$)","Variação"
"AMER3","Americanas","817.790.600","0,10","-28,57%"
"COGN3","Cogna","83.746.300","1,47","+10,53%"
"BBDC4","Banco Bradesco","73.178.500","15,64","+4,48%"
"PETZ3","Petz","55.352.700","4,67","+23,87%"
"HAPV3","Hapvida","47.962.900","4,45","+4,22%"
"ITSA4","Itaúsa","38.055.100","11,04","+0,91%"
"CIEL3","Cielo","36.696.800","5,82","-0,17%"
"IFCM3","Infracommerce","36.316.800","0,20","+5,26%"
"MGLU3","Magazine Luiza","32.209.300","13,92","+10,65%"
"B3SA3","B3","30.990.700","12,79","+2,40%"
"ABEV3","Ambev","28.991.400","13,01","+0,00%"
"VALE3","Vale","28.250.400","56,98","+1,60%"
"PETR4","Petrobras","28.009.000","38,44","-0,16%"
"USIM5","Usiminas","26.381.900","6,50","+6,91%"
"CMIG4","CEMIG","25.563.400","11,85","+1,98%"
"CVCB3","CVC","23.179.500","2,14","+12,04%"
"ITUB4","Itaú Unibanco","22.205.300","36,96","+0,60%"
"LREN3","Lojas Renner","20.530.200","17,00","+5,39%"
"AZUL4","Azul","20.368.100","7,82","+5,53%"
"BBAS3","Banco do Brasil","19.930.800","29,13","+2,68%"
"LWSA3","Locaweb","19.047.200","5,22","+12,74%"
"BBDC3","Banco Bradesco","18.659.100","14,09","+5,62%"
"PCAR3","Grupo Pão de Açúcar","18.440.300","3,33","+3,42%"
"NTCO3","Natura","18.430.700","14,20","+2,68%"
"CRFB3","Carrefour Brasil","18.413.200","9,71","+4,75%"
"RAIZ4","Raízen","18.200.800","3,30","+0,00%"
"ASAI3","Assaí","15.551.700","10,71","+4,49%"
"RENT3","Localiza","15.027.700","44,25","+3,87%"
"CSAN3","Cosan","13.991.100","13,94","+3,80%"
"CMIN3","CSN Mineração","13.705.400","5,27","+4,98%"
"MRFG3","Marfrig","13.698.300","14,59","+13,19%"
"ELET3","Eletrobras","13.537.000","41,53","+2,95%"
"ENEV3","Eneva","12.662.200","13,81","+2,30%"
"PRIO3","PetroRio","11.748.800","47,89","-2,66%"
"WEGE3","WEG","11.169.300","51,79","-2,74%"
"UGPA3","Ultrapar","11.124.300","23,95","-0,21%"
"CPLE6","Copel","10.951.800","10,54","+1,15%"
"BEEF3","Minerva","10.564.100","7,71","+3,49%"
"EQTL3","Equatorial Energia","10.367.200","35,52","+1,89%"
"MRVE3","MRV","10.358.700","7,46","+2,33%"
"RAIL3","Rumo","10.176.100","23,60","+1,72%"
"JBSS3","JBS","10.087.500","36,16","+4,69%"
"BRFS3","BRF","9.995.300","25,25","+3,91%"
"GGBR4","Gerdau","9.982.000","17,65","+2,50%"
"PETR3","Petrobras","9.350.400","41,24","-0,77%"
"GFSA3","Gafisa","9.076.600","2,90","+9,43%"
"GOAU4","Metalúrgica Gerdau","8.621.200","10,30","+2,39%"
"DXCO3","Dexco","8.606.500","8,33","+8,32%"
"CSNA3","Siderúrgica Nacional","8.468.200","12,01","+6,19%"
"CCRO3","Grupo CCR","8.115.500","13,59","+1,04%"
"VBBR3","Vibra Energia","7.951.400","26,25","+0,85%"
"BHIA3","Casas Bahia","7.361.000","5,85","+15,61%"
"QUAL3","Qualicorp","7.151.700","1,79","+12,58%"
"RRRP3","3R Petroleum","7.101.000","27,86","-1,10%"
"RDOR3","Rede D'Or","6.800.200","32,05","+1,42%"
"POMO4","Marcopolo","6.735.400","6,95","+2,81%"
"BBSE3","BB Seguridade","6.701.700","36,05","+0,42%"
"VAMO3","Grupo Vamos","6.657.200","8,78","+6,30%"
"TIMS3","TIM","6.590.100","18,27","-0,11%"
"ANIM3","Ânima Educação","6.569.500","3,49","-0,29%"
"JHSF3","JHSF","6.259.900","4,32","+1,17%"
"MULT3","Multiplan","5.945.200","26,89","+1,93%"
"SBSP3","Sabesp","5.849.100","97,50","-1,22%"
"RADL3","RaiaDrogasil","5.481.400","29,07","-0,95%"
"CPLE3","Copel","5.441.400","9,56","+1,16%"
"CYRE3","Cyrela","5.164.800","21,80","+1,96%"
"EMBR3","Embraer","5.011.400","43,98","-1,04%"
"CBAV3","CBA","4.974.300","5,19","+10,43%"
"BRAP4","Bradespar","4.960.500","18,68","+2,24%"
"YDUQ3","YDUQS","4.762.000","10,61","+8,27%"
"SUZB3","Suzano","4.614.600","55,04","+1,16%"
"HYPE3","Hypera","4.450.200","32,27","+4,13%"
"ALOS3","Allos","4.393.900","23,42","+0,69%"
"MLAS3","Multilaser","4.341.400","1,89","+5,59%"
"SIMH3","Simpar","4.337.600","7,09","+9,92%"
"MOVI3","Movida","4.269.300","7,71","+5,47%"
"VVEO3","Viveo","3.722.100","2,10","+3,45%"
"IRBR3","IRB Brasil RE","3.496.900","46,20","+2,99%"
"SYNE3","SYN","3.386.800","11,21","-0,71%"
"BPAN4","Banco Pan","3.365.100","10,43","+0,77%"
"TRPL4","Transmissão Paulista","3.334.100","25,14","+1,91%"
"CXSE3","Caixa Seguridade","3.326.200","14,65","+2,81%"
"LJQQ3","Lojas Quero-Quero","3.321.900","4,19","+5,81%"
"ONCO3","Oncoclínicas","3.275.900","6,57","+1,86%"
"GGPS3","GPS","3.252.400","17,53","-0,17%"
"STBP3","Santos Brasil","3.157.200","14,09","-0,28%"
"TOTS3","Totvs","3.072.800","29,90","+1,29%"
"AZEV4","Azevedo & Travassos","3.064.000","1,45","-0,68%"
"SLCE3","SLC Agrícola","3.051.000","17,86","+0,90%"
"BRKM5","Braskem","2.893.300","17,17","+0,12%"
"VIVA3","Vivara","2.819.500","26,50","+0,76%"
"CPFE3","CPFL Energia","2.789.700","33,20","-0,66%"
"GOLL4","GOL","2.637.600","1,10","+1,85%"
"GMAT3","Grupo Mateus","2.625.500","7,91","+0,13%"
"SMFT3","Smart Fit","2.588.300","23,39","+1,87%"
"FLRY3","Fleury","2.586.100","15,86","+0,83%"
"VIVT3","Vivo","2.379.200","52,12","-0,15%"
"SOJA3","Boa Safra Sementes","2.373.300","13,77","+0,51%"
"EZTC3","EZTEC","2.339.500","14,70","+5,15%"
"CEAB3","C&A","2.331.000","9,54","+2,80%"
"LIGT3","Light","2.325.800","5,90","+16,14%"
"ALPA4","Alpargatas","2.082.500","8,30","+2,60%"
"POSI3","Positivo","2.082.500","6,99","+2,19%"
"PDGR3","PDG Realty","2.078.500","0,17","-5,56%"
"AESB3","AES Brasil","2.066.200","11,43","+0,18%"
"TEND3","Construtora Tenda","2.034.600","13,65","+2,79%"
"ECOR3","EcoRodovias","1.961.500","8,07","+3,46%"
"SRNA3","Serena Energia","1.836.800","9,23","+5,49%"
"JFEN3","João Fortes","1.817.400","0,22","-4,35%"
"SBFG3","Grupo SBF","1.707.400","17,16","+1,24%"
"AURE3","Auren Energia","1.705.100","11,63","+0,87%"
"AZZA3","Arezzo","1.651.100","52,40","+2,54%"
"PGMN3","Pague Menos","1.630.100","3,30","+9,63%"
"DASA3","Dasa","1.499.900","3,40","+5,59%"
"DIRR3","Direcional","1.471.600","29,31","+0,72%"
"BRSR6","Banrisul","1.451.500","12,58","+3,37%"
"RECV3","PetroRecôncavo","1.441.600","21,85","+1,02%"
"RAPT4","Randon","1.405.500","11,15","+2,20%"
"KLBN4","Klabin","1.355.600","4,25","+1,43%"
"ELET6","Eletrobras","1.349.800","45,70","+1,62%"
"MEAL3","IMC Alimentação","1.286.900","1,64","+3,14%"
"GUAR3","Guararapes","1.279.800","9,10","+6,68%"
"OIBR3","Oi","1.266.300","4,44","-1,33%"
"HBSA3","Hidrovias do Brasil","1.197.400","3,67","+2,23%"
"SAPR4","Sanepar","1.110.300","5,83","+1,57%"
"MBLY3","Mobly","1.088.700","2,90","+3,57%"
"PSSA3","Porto Seguro","1.053.700","32,85","+0,34%"
"CSMG3","COPASA","1.048.500","23,14","+0,74%"
"TTEN3","3tentos","984.600","12,77","+3,32%"
"NEOE3","Neoenergia","956.300","19,45","+1,20%"
"SEQL3","Sequoia Logística","904.700","5,46","+1,30%"
"MILS3","Mills","900.400","11,45","+1,33%"
"EGIE3","Engie","896.600","46,66","+1,02%"
"SMTO3","São Martinho","876.500","29,54","+1,16%"
"ODPV3","Odontoprev","864.900","11,92","+0,85%"
"NGRD3","Neogrid","855.500","1,16","-2,52%"
"GRND3","Grendene","851.700","6,30","+1,78%"
"ITUB3","Itaú Unibanco","840.400","31,97","+1,01%"
"KEPL3","Kepler Weber","832.100","11,56","+3,31%"
"INTB3","Intelbras","831.900","22,62","+3,33%"
"RANI3","Irani","828.700","8,20","+1,61%"
"AZEV3","Azevedo & Travassos","786.500","1,47","+1,38%"
"FESA4","Ferbasa","779.000","8,52","+3,27%"
"ENJU3","Enjoei","772.700","1,80","+4,65%"
"CLSA3","ClearSale","762.600","7,73","-0,77%"
"MTRE3","Mitre Realty","759.700","3,98","+3,92%"
"MDIA3","M. Dias Branco","733.900","28,89","+2,23%"
"AMBP3","Ambipar","727.400","77,70","-0,35%"
"HBOR3","Helbor","720.400","2,23","+6,19%"
"BRIT3","Brisanet","717.700","3,80","+3,83%"
"JSLG3","JSL","699.500","9,64","+4,78%"
"CASH3","Méliuz","677.500","6,44","+3,54%"
"TRIS3","Trisul","670.600","4,90","+4,48%"
"TFCO4","Track & Field","661.000","12,36","-0,24%"
"EVEN3","Even","639.800","6,63","+3,76%"
"USIM3","Usiminas","635.500","6,44","+7,69%"
"MYPK3","Iochpe-Maxion","634.500","11,80","+0,94%"
"BMGB4","Banco BMG","612.800","3,71","+0,82%"
"PTBL3","Portobello","583.000","4,99","+8,01%"
"MELK3","Melnick","558.900","3,46","+1,76%"
"CURY3","Cury","552.800","23,62","+1,33%"
"PLPL3","Plano&Plano","551.300","12,00","+2,04%"
"ABCB4","Banco ABC Brasil","548.900","23,51","+4,35%"
"VLID3","Valid","547.900","21,35","+0,57%"
