Date,IPCA,SELIC,CDI
2000-01-01,0.62,1.46,1.44
2000-02-01,0.13,1.45,1.44
2000-03-01,0.22,1.45,1.44
2000-04-01,0.42,1.3,1.28
2000-05-01,0.01,1.49,1.49
2000-06-01,0.23,1.39,1.39
2000-07-01,1.61,1.31,1.3
2000-08-01,1.31,1.41,1.4
2000-09-01,0.23,1.22,1.22
2000-10-01,0.14,1.29,1.28
2000-11-01,0.32,1.22,1.22
2000-12-01,0.59,1.2,1.19
2001-01-01,0.57,1.27,1.26
2001-02-01,0.46,1.02,1.01
2001-03-01,0.38,1.26,1.25
2001-04-01,0.58,1.19,1.18
2001-05-01,0.41,1.34,1.33
2001-06-01,0.52,1.27,1.27
2001-07-01,1.33,1.5,1.5
2001-08-01,0.7,1.6,1.6
2001-09-01,0.28,1.32,1.32
2001-10-01,0.83,1.53,1.53
2001-11-01,0.71,1.39,1.39
2001-12-01,0.65,1.39,1.39
2002-01-01,0.52,1.53,1.53
2002-02-01,0.36,1.25,1.25
2002-03-01,0.6,1.37,1.37
2002-04-01,0.8,1.48,1.48
2002-05-01,0.21,1.41,1.4
2002-06-01,0.42,1.33,1.31
2002-07-01,1.19,1.54,1.53
2002-08-01,0.65,1.44,1.45
2002-09-01,0.72,1.38,1.38
2002-10-01,1.31,1.65,1.64
2002-11-01,3.02,1.54,1.53
2002-12-01,2.1,1.74,1.73
2003-01-01,2.25,1.97,1.97
2003-02-01,1.57,1.83,1.83
2003-03-01,1.23,1.78,1.77
2003-04-01,0.97,1.87,1.87
2003-05-01,0.61,1.97,1.96
2003-06-01,-0.15,1.86,1.85
2003-07-01,0.2,2.08,2.08
2003-08-01,0.34,1.77,1.76
2003-09-01,0.78,1.68,1.67
2003-10-01,0.29,1.64,1.63
2003-11-01,0.34,1.34,1.34
2003-12-01,0.52,1.37,1.37
2004-01-01,0.76,1.27,1.26
2004-02-01,0.61,1.08,1.08
2004-03-01,0.47,1.38,1.37
2004-04-01,0.37,1.18,1.17
2004-05-01,0.51,1.23,1.22
2004-06-01,0.71,1.23,1.22
2004-07-01,0.91,1.29,1.28
2004-08-01,0.69,1.29,1.29
2004-09-01,0.33,1.25,1.24
2004-10-01,0.44,1.21,1.21
2004-11-01,0.69,1.25,1.25
2004-12-01,0.86,1.48,1.48
2005-01-01,0.58,1.38,1.38
2005-02-01,0.59,1.22,1.22
2005-03-01,0.61,1.53,1.52
2005-04-01,0.87,1.41,1.41
2005-05-01,0.49,1.5,1.5
2005-06-01,-0.02,1.59,1.58
2005-07-01,0.25,1.51,1.51
2005-08-01,0.17,1.66,1.65
2005-09-01,0.35,1.5,1.5
2005-10-01,0.75,1.41,1.4
2005-11-01,0.55,1.38,1.38
2005-12-01,0.36,1.47,1.47
2006-01-01,0.59,1.43,1.43
2006-02-01,0.41,1.15,1.14
2006-03-01,0.43,1.42,1.42
2006-04-01,0.21,1.08,1.08
2006-05-01,0.1,1.28,1.28
2006-06-01,-0.21,1.18,1.18
2006-07-01,0.19,1.17,1.17
2006-08-01,0.05,1.26,1.25
