,0
AMER3.SA,Consumer Cyclical
COGN3.SA,Consumer Defensive
BBDC4.SA,Financial Services
PETZ3.SA,Consumer Cyclical
HAPV3.SA,Financial Services
ITSA4.SA,Industrials
CIEL3.SA,Technology
IFCM3.SA,Industrials
MGLU3.SA,Consumer Cyclical
B3SA3.SA,Financial Services
ABEV3.SA,Consumer Defensive
VALE3.SA,Basic Materials
PETR4.SA,Energy
USIM5.SA,Basic Materials
CMIG4.SA,Utilities
CVCB3.SA,Consumer Cyclical
ITUB4.SA,Financial Services
LREN3.SA,Consumer Cyclical
AZUL4.SA,Industrials
BBAS3.SA,Financial Services
LWSA3.SA,Technology
BBDC3.SA,Financial Services
PCAR3.SA,Consumer Cyclical
NTCO3.SA,Consumer Defensive
CRFB3.SA,Consumer Defensive
RAIZ4.SA,Utilities
ASAI3.SA,Consumer Defensive
RENT3.SA,Industrials
CSAN3.SA,Energy
CMIN3.SA,Basic Materials
MRFG3.SA,Consumer Defensive
ELET3.SA,Utilities
ENEV3.SA,Utilities
PRIO3.SA,Energy
WEGE3.SA,Industrials
UGPA3.SA,Energy
CPLE6.SA,Utilities
BEEF3.SA,Consumer Defensive
EQTL3.SA,Utilities
MRVE3.SA,Real Estate
RAIL3.SA,Industrials
JBSS3.SA,Consumer Defensive
BRFS3.SA,Consumer Defensive
GGBR4.SA,Basic Materials
PETR3.SA,Energy
GFSA3.SA,Consumer Cyclical
GOAU4.SA,Basic Materials
DXCO3.SA,Basic Materials
CSNA3.SA,Basic Materials
CCRO3.SA,Industrials
VBBR3.SA,Consumer Cyclical
BHIA3.SA,Consumer Cyclical
QUAL3.SA,Healthcare
RRRP3.SA,Energy
RDOR3.SA,Healthcare
POMO4.SA,Industrials
BBSE3.SA,Financial Services
VAMO3.SA,Industrials
TIMS3.SA,Communication Services
ANIM3.SA,Consumer Defensive
JHSF3.SA,Real Estate
MULT3.SA,Real Estate
SBSP3.SA,Utilities
RADL3.SA,Healthcare
CPLE3.SA,Utilities
CYRE3.SA,Consumer Cyclical
EMBR3.SA,Industrials
CBAV3.SA,Basic Materials
BRAP4.SA,Financial Services
YDUQ3.SA,Consumer Defensive
SUZB3.SA,Basic Materials
HYPE3.SA,Healthcare
ALOS3.SA,Real Estate
MLAS3.SA,Technology
SIMH3.SA,Industrials
MOVI3.SA,Industrials
VVEO3.SA,Healthcare
IRBR3.SA,Financial Services
SYNE3.SA,Real Estate
BPAN4.SA,Financial Services
TRPL4.SA,Utilities
CXSE3.SA,Financial Services
LJQQ3.SA,Consumer Cyclical
ONCO3.SA,Healthcare
GGPS3.SA,Industrials
STBP3.SA,Industrials
TOTS3.SA,Technology
AZEV4.SA,Industrials
SLCE3.SA,Consumer Defensive
BRKM5.SA,Basic Materials
VIVA3.SA,Consumer Cyclical
CPFE3.SA,Utilities
GOLL4.SA,Industrials
GMAT3.SA,Consumer Cyclical
SMFT3.SA,Consumer Cyclical
FLRY3.SA,Healthcare
VIVT3.SA,Communication Services
SOJA3.SA,Basic Materials
EZTC3.SA,Real Estate
CEAB3.SA,Consumer Cyclical
LIGT3.SA,Utilities
ALPA4.SA,Consumer Cyclical
POSI3.SA,Technology
PDGR3.SA,Real Estate
AESB3.SA,Utilities
TEND3.SA,Real Estate
ECOR3.SA,Industrials
SRNA3.SA,Utilities
JFEN3.SA,Real Estate
SBFG3.SA,Consumer Cyclical
AURE3.SA,Utilities
AZZA3.SA,Consumer Cyclical
PGMN3.SA,Healthcare
DASA3.SA,Healthcare
DIRR3.SA,Real Estate
BRSR6.SA,Financial Services
RECV3.SA,Energy
RAPT4.SA,Industrials
KLBN4.SA,Basic Materials
ELET6.SA,Utilities
MEAL3.SA,Consumer Cyclical
GUAR3.SA,Consumer Cyclical
OIBR3.SA,Communication Services
HBSA3.SA,Industrials
SAPR4.SA,Utilities
MBLY3.SA,Consumer Cyclical
PSSA3.SA,Financial Services
CSMG3.SA,Utilities
TTEN3.SA,Basic Materials
NEOE3.SA,Utilities
SEQL3.SA,Industrials
MILS3.SA,Industrials
EGIE3.SA,Utilities
SMTO3.SA,Basic Materials
ODPV3.SA,Healthcare
NGRD3.SA,Technology
GRND3.SA,Consumer Cyclical
ITUB3.SA,Financial Services
KEPL3.SA,Industrials
INTB3.SA,Technology
RANI3.SA,Consumer Cyclical
AZEV3.SA,Industrials
FESA4.SA,Basic Materials
ENJU3.SA,Consumer Cyclical
CLSA3.SA,Technology
MTRE3.SA,Real Estate
MDIA3.SA,Consumer Defensive
AMBP3.SA,Industrials
HBOR3.SA,Real Estate
BRIT3.SA,Communication Services
JSLG3.SA,Industrials
CASH3.SA,Communication Services
TRIS3.SA,Real Estate
TFCO4.SA,Consumer Cyclical
EVEN3.SA,Real Estate
USIM3.SA,Basic Materials
MYPK3.SA,Consumer Cyclical
BMGB4.SA,Financial Services
PTBL3.SA,Industrials
MELK3.SA,Real Estate
CURY3.SA,Real Estate
PLPL3.SA,Real Estate
ABCB4.SA,Financial Services
VLID3.SA,Industrials
ORVR3.SA,Industrials
ITSA3.SA,Industrials
PORT3.SA,Industrials
FIQE3.SA,Communication Services
ETER3.SA,Industrials
VULC3.SA,Consumer Cyclical
SEER3.SA,Consumer Defensive
ZAMP3.SA,Consumer Cyclical
LEVE3.SA,Consumer Cyclical
ARML3.SA,Industrials
PNVL3.SA,Healthcare
VITT3.SA,Basic Materials
CAML3.SA,Consumer Defensive
WIZC3.SA,Financial Services
ESPA3.SA,Consumer Cyclical
TUPY3.SA,Industrials
AERI3.SA,Industrials
CSED3.SA,Consumer Defensive
KRSA3.SA,Healthcare
PRNR3.SA,Industrials
RCSL3.SA,Industrials
AMAR3.SA,Consumer Cyclical
JALL3.SA,Consumer Defensive
LAVV3.SA,Real Estate
SHUL4.SA,Consumer Cyclical
FRAS3.SA,Consumer Cyclical
TASA4.SA,Industrials
OPCT3.SA,Industrials
MATD3.SA,Healthcare
LOGG3.SA,Real Estate
KLBN3.SA,Basic Materials
RNEW4.SA,Utilities
PINE4.SA,Financial Services
TRAD3.SA,Technology
MDNE3.SA,Real Estate
SANB3.SA,Financial Services
BLAU3.SA,Healthcare
PFRM3.SA,Healthcare
DESK3.SA,Communication Services
EALT4.SA,Industrials
AGXY3.SA,Basic Materials
BMOB3.SA,Communication Services
LPSB3.SA,Real Estate
ALPK3.SA,Industrials
PMAM3.SA,Basic Materials
POMO3.SA,Industrials
BIOM3.SA,Healthcare
AGRO3.SA,Consumer Defensive
DEXP3.SA,Basic Materials
RCSL4.SA,Industrials
SHOW3.SA,Consumer Cyclical
TAEE4.SA,Utilities
SANB4.SA,Financial Services
LUPA3.SA,Energy
HBRE3.SA,Real Estate
CMIG3.SA,Utilities
BRAP3.SA,Financial Services
SAPR3.SA,Utilities
ROMI3.SA,Industrials
UNIP6.SA,Basic Materials
TAEE3.SA,Utilities
